Query	Target	Value
Acinetobacter_baumannii_1564232_GCA_000584815_2_24_dna_genome	ERR474004	0.970010085832
ERR356313	Acinetobacter_baumannii_AB307_0294_uid59271	0.979350100484
ERR356313	Acinetobacter_baumannii_BJAB0715_uid210972	0.978256420948
ERR356313	ERR249229	0.979469367344
ERR356313	Acinetobacter_baumannii_BJAB07104_uid210971	0.979295463672
ERR356313	Acinetobacter_baumannii_1656_2_uid158677	0.978608547757
ERR356313	Acinetobacter_baumannii_TYTH_1_uid176498	0.979698431266
ERR356313	Acinetobacter_baumannii_MDR_TJ_uid162739	0.979802733958
ERR356313	Acinetobacter_baumannii_BJAB0868_uid210973	0.979655032398
ERR356313	Acinetobacter_baumannii_ZW85_1_uid231518	0.979522479791
ERR356313	Acinetobacter_baumannii_MDR_ZJ06_uid158685	0.978714315835
Acinetobacter_baumannii_AB307_0294_uid59271	ERR249229	0.978319184926
Acinetobacter_baumannii_BJAB0715_uid210972	ERR249229	0.978048876065
ERR249229	Acinetobacter_baumannii_BJAB07104_uid210971	0.998474305794
ERR249229	Acinetobacter_baumannii_1656_2_uid158677	0.996415985406
ERR249229	Acinetobacter_baumannii_TYTH_1_uid176498	0.997979247913
ERR249229	Acinetobacter_baumannii_MDR_TJ_uid162739	0.997837718156
ERR249229	Acinetobacter_baumannii_BJAB0868_uid210973	0.997947692401
ERR249229	Acinetobacter_baumannii_ZW85_1_uid231518	0.979305919207
ERR249229	Acinetobacter_baumannii_MDR_ZJ06_uid158685	0.997464972424
Acinetobacter_baumannii_1451147_GCA_000681535_1_24_dna_genome	ERR474004	0.986824378611
ERR197607	ERR197558	0.997898605331
ERR197607	ERR190412	0.998593495177
ERR197558	ERR190412	0.998059076407
ERR249218	ERR356313	0.979170550853
ERR249218	Acinetobacter_baumannii_AB307_0294_uid59271	0.997899756755
ERR249218	Acinetobacter_baumannii_BJAB0715_uid210972	0.976697595165
ERR249218	ERR249229	0.978369393741
ERR249218	Acinetobacter_baumannii_BJAB07104_uid210971	0.978162717721
ERR249218	Acinetobacter_baumannii_1656_2_uid158677	0.977778182511
ERR249218	Acinetobacter_baumannii_TYTH_1_uid176498	0.978709849054
ERR249218	Acinetobacter_baumannii_MDR_TJ_uid162739	0.977965630912
ERR249218	Acinetobacter_baumannii_BJAB0868_uid210973	0.979014847288
ERR249218	Acinetobacter_baumannii_ZW85_1_uid231518	0.978099439566
ERR249218	Acinetobacter_baumannii_MDR_ZJ06_uid158685	0.978008088546
