	Haemophilus_influenzae_KR494_uid219323	Haemophilus_influenzae_PittEE_uid58591	Haemophilus_influenzae_10810_uid86647	Haemophilus_influenzae_R2866_uid161923	Haemophilus_influenzae_R2846_uid161921	Haemophilus_influenzae_F3031_uid62123	Haemophilus_influenzae_86_028NP_uid58093	Haemophilus_influenzae_PittGG_uid58593	Haemophilus_influenzae_F3047_uid62097	Haemophilus_influenzae_Rd_KW20_uid57771
Haemophilus_influenzae_KR494_uid219323	1856176.0	1623285.0	1637177.0	1650202.0	1614247.0	1590675.0	1622735.0	1640940.0	1599080.0	1668491.0
Haemophilus_influenzae_PittEE_uid58591	1623285.0	1813033.0	1711396.0	1759508.0	1848289.0	1676768.0	1772073.0	1739123.0	1680517.0	1706444.0
Haemophilus_influenzae_10810_uid86647	1637177.0	1711396.0	1981535.0	1788998.0	1723560.0	1689547.0	1808749.0	1754443.0	1703634.0	1750923.0
Haemophilus_influenzae_R2866_uid161923	1650202.0	1759508.0	1788998.0	1932306.0	1735341.0	1680922.0	1828930.0	1785702.0	1712456.0	1730150.0
Haemophilus_influenzae_R2846_uid161921	1614247.0	1848289.0	1723560.0	1735341.0	1819370.0	1660320.0	1771142.0	1714417.0	1672486.0	1719973.0
Haemophilus_influenzae_F3031_uid62123	1590675.0	1676768.0	1689547.0	1680922.0	1660320.0	1985832.0	1704139.0	1696941.0	1910381.0	1673012.0
Haemophilus_influenzae_86_028NP_uid58093	1622735.0	1772073.0	1808749.0	1828930.0	1771142.0	1704139.0	1914490.0	1799635.0	1759609.0	1706833.0
Haemophilus_influenzae_PittGG_uid58593	1640940.0	1739123.0	1754443.0	1785702.0	1714417.0	1696941.0	1799635.0	1887192.0	1746754.0	1742735.0
Haemophilus_influenzae_F3047_uid62097	1599080.0	1680517.0	1703634.0	1712456.0	1672486.0	1910381.0	1759609.0	1746754.0	2007018.0	1681606.0
Haemophilus_influenzae_Rd_KW20_uid57771	1668491.0	1706444.0	1750923.0	1730150.0	1719973.0	1673012.0	1706833.0	1742735.0	1681606.0	1830138.0
