	Acinetobacter_baumannii_1264765_GCA_000681815_1_24_dna_genome	Acinetobacter_calcoaceticus_dsm_30006_cip_81_8_GCA_000368965_1_24_dna_genome	Acinetobacter_baumannii_1295259_GCA_000581095_1_24_dna_genome	SRR387325	Acinetobacter_baumannii_826659_GCA_000588515_1_24_dna_genome	ERR190413	Acinetobacter_calcoaceticus_anc_3811_GCA_000399665_1_24_dna_genome	ERR197603	ERR190463	Acinetobacter_pittii_cip_70_29_GCA_000369045_1_24_dna_genome	Acinetobacter_calcoaceticus_anc_3680_GCA_000368945_1_24_dna_genome	Acinetobacter_pittii_42f_GCA_000529235_1_24_dna_genome	Acinetobacter_baumannii_1179249_GCA_000587995_1_24_dna_genome	ERR190426	ERR197559	ERR246890	Acinetobacter_baumannii_1542444_GCA_000581835_1_24_dna_genome	ERR110085	Acinetobacter_baumannii_wc_141_GCA_000313935_1_24_dna_genome	Acinetobacter_pittii_anc_4050_GCA_000399685_1_24_dna_genome	Acinetobacter_baumannii_1289694_GCA_000580855_1_24_dna_genome	Acinetobacter_baumannii_272263_GCA_000581215_1_24_dna_genome	ERR249214	ERR190412	Acinetobacter_baumannii_1578804_GCA_000582075_1_24_dna_genome	Acinetobacter_baumannii_1461402_GCA_000580635_1_24_dna_genome	Acinetobacter_calcoaceticus_niph_13_GCA_000367865_1_24_dna_genome	ERR110074	ERR246919	Acinetobacter_baumannii_869535_GCA_000581035_1_24_dna_genome	ERR197641	ERR356249	Acinetobacter_baumannii_1294243_GCA_000588015_1_24_dna_genome	ERR246818
Acinetobacter_baumannii_1264765_GCA_000681815_1_24_dna_genome	1.0	0.901412117277	0.965215717685	0.889024589475	0.964486772164	0.88640545827	0.908434216383	0.886684623249	0.890261243596	0.969834191579	0.902329544599	0.970158384614	0.890168709838	0.889328140892	0.926575311374	0.889303988061	0.963734568336	0.944771345558	0.910604469822	0.926477853687	0.968213728239	0.84788290963	0.88549190785	0.886295514072	0.989491203201	0.848517141505	0.901674370273	0.891032493419	0.88960855958	0.845621445879	0.92491717524	0.953297688372	0.987691801539	0.889482919784
Acinetobacter_calcoaceticus_dsm_30006_cip_81_8_GCA_000368965_1_24_dna_genome	0.901412117277	1.0	0.900681955639	0.874813077979	0.901653564437	0.873228719204	0.923315257457	0.873837621443	0.876417986732	0.901515864796	0.963201089462	0.900899839407	0.873775859805	0.873570238103	0.915365210191	0.874683866287	0.901302446641	0.897373379142	0.917990052645	0.89940973621	0.900618517554	0.837716561652	0.873221271057	0.873236439542	0.900626688433	0.838788689184	0.969754830469	0.874642055819	0.874584804	0.84049667241	0.914657360406	0.90067420112	0.901147202698	0.874711507774
Acinetobacter_baumannii_1295259_GCA_000581095_1_24_dna_genome	0.965215717685	0.900681955639	1.0	0.890204294226	0.962956796896	0.886180380314	0.907902412254	0.886875096909	0.889451230831	0.967759558849	0.901764383535	0.96595367257	0.890966077469	0.888714483782	0.930936492677	0.889742635651	0.966393424162	0.942540358987	0.912940752428	0.926691896405	0.965969680905	0.851062759718	0.885687455411	0.88628114909	0.965650123196	0.874599602312	0.901102845179	0.891344416611	0.890017077356	0.863418435444	0.925597060625	0.948706023329	0.964621341978	0.89024822138
SRR387325	0.889024589475	0.874813077979	0.890204294226	1.0	0.890046828787	0.917920553004	0.87810685107	0.917311939032	0.902340749087	0.889862670283	0.876011147601	0.888833389447	0.920802024449	0.94014894467	0.975624139965	0.979118584214	0.890000670379	0.949324603608	0.881056802965	0.884109304599	0.889980912884	0.848090471766	0.917431136618	0.917912928898	0.889025655315	0.853397463357	0.874851120471	0.978299788193	0.978787399398	0.850392672815	0.972900147599	0.887701063734	0.889271586797	0.978314689365
Acinetobacter_baumannii_826659_GCA_000588515_1_24_dna_genome	0.964486772164	0.901653564437	0.962956796896	0.890046828787	1.0	0.884672408215	0.908396621688	0.885049794954	0.887797821893	0.963366607349	0.901972513077	0.962879958217	0.886301236421	0.886161121328	0.925833431848	0.889162432934	0.962962318711	0.922112462006	0.910346804595	0.92720671512	0.962787483098	0.841646864554	0.884515779429	0.884637250315	0.961883848248	0.843273549202	0.901815820497	0.88922954789	0.889178025059	0.845200191504	0.927524269937	0.952785839206	0.963526243279	0.888983422255
ERR190413	0.88640545827	0.873228719204	0.886180380314	0.917920553004	0.884672408215	1.0	0.878231752307	0.98777557261	0.918960095699	0.886834293297	0.874746570296	0.886520817355	0.977663454134	0.968183096344	0.943311863539	0.918235708611	0.885760040468	0.928619505957	0.880941273094	0.881520425947	0.88728941656	0.846848448117	0.99822156205	0.998945420587	0.886796699175	0.857488324209	0.873586361673	0.91778893899	0.918136127961	0.854867359959	0.948806437193	0.884383616268	0.886899676976	0.91799268577
Acinetobacter_calcoaceticus_anc_3811_GCA_000399665_1_24_dna_genome	0.908434216383	0.923315257457	0.907902412254	0.87810685107	0.908396621688	0.878231752307	1.0	0.877932697588	0.88331373649	0.909039665964	0.923203342366	0.908027689242	0.87918144083	0.87759679212	0.914266769413	0.878058629815	0.908366566642	0.941243459526	0.9282372789	0.907431487509	0.907523989748	0.837773717391	0.877470655107	0.877630560865	0.907663298824	0.83871428757	0.923174945157	0.878211626416	0.877945960697	0.839009762219	0.916441409399	0.906908259532	0.909198245308	0.878094788162
ERR197603	0.886684623249	0.873837621443	0.886875096909	0.917311939032	0.885049794954	0.98777557261	0.877932697588	1.0	0.91943304442	0.887264604021	0.875133086223	0.892664247581	0.975688781232	0.959532508461	0.941584475984	0.917812505891	0.885788919618	0.923152858987	0.879501683093	0.881424441337	0.887378934928	0.846955032935	0.988744511544	0.988044960206	0.887803908597	0.860003455195	0.873872215445	0.917313511091	0.9177335438	0.862831617084	0.947752209954	0.884551731665	0.886592879647	0.917949571336
ERR190463	0.890261243596	0.876417986732	0.889451230831	0.902340749087	0.887797821893	0.918960095699	0.88331373649	0.91943304442	1.0	0.888799759485	0.878035800231	0.889123263983	0.919773915654	0.909940226161	0.928404936285	0.902327257279	0.888175006054	0.922269975507	0.884659893135	0.88420331003	0.889326079803	0.855897247627	0.918832776065	0.918816324687	0.88877424611	0.858746231615	0.87668212918	0.90241930139	0.902324639195	0.853440940764	0.922659939888	0.887347985716	0.890575523235	0.901682768473
Acinetobacter_pittii_cip_70_29_GCA_000369045_1_24_dna_genome	0.969834191579	0.901515864796	0.967759558849	0.889862670283	0.963366607349	0.886834293297	0.909039665964	0.887264604021	0.888799759485	1.0	0.903986848412	0.975936875514	0.890423395434	0.887293855543	0.926098310292	0.888648803751	0.965984951152	0.942176487172	0.910572346713	0.927143168283	0.975015037396	0.840818173472	0.886290185887	0.886356495492	0.969782716625	0.84443246243	0.902145918435	0.888869238763	0.888671470846	0.843695012759	0.927824647802	0.950549932067	0.970390702518	0.889439438358
