	Haemophilus_influenzae_KR494_uid219323	Haemophilus_influenzae_PittEE_uid58591	Haemophilus_influenzae_10810_uid86647	Haemophilus_influenzae_R2866_uid161923	Haemophilus_influenzae_R2846_uid161921	Haemophilus_influenzae_F3031_uid62123	Haemophilus_influenzae_86_028NP_uid58093	Haemophilus_influenzae_PittGG_uid58593	Haemophilus_influenzae_F3047_uid62097	Haemophilus_influenzae_Rd_KW20_uid57771
Haemophilus_influenzae_KR494_uid219323	1.0	0.8953422248795251	0.8262165442447396	0.8540065600375923	0.8878441438519927	0.8010118680734322	0.8475338079592999	0.8695140717001768	0.7967442245161728	0.9116984620831872
Haemophilus_influenzae_PittEE_uid58591	0.8745318331882321	1.0	0.8620594640013929	0.9102160837879715	1.0158950625766061	0.8445029589612817	0.9256109982292935	0.9220333702135236	0.8373203429167053	0.9324127470168916
Haemophilus_influenzae_10810_uid86647	0.8820160372723276	0.9421786586344539	1.0	0.9304985856277422	0.9473389140196882	0.8508005712467117	0.944201327768753	0.9299604915663059	0.8488384259632948	0.95671637876488
Haemophilus_influenzae_R2866_uid161923	0.8890331520286869	0.9700959662620592	0.9073813987640894	1.0	0.9538142323991272	0.8476779506020651	0.9553092468490303	0.9485881669697624	0.8532340018873772	0.9453658685847733
Haemophilus_influenzae_R2846_uid161921	0.8702391368059925	1.0194458677806748	0.8698105256783252	0.8980673868424567	1.0	0.8360828106305065	0.9224655130086864	0.9084486369166466	0.8333188840359179	0.9411962376607665
Haemophilus_influenzae_F3031_uid62123	0.8569634560515813	0.9249919885628116	0.8526455500407513	0.871159122830442	0.9125796292123097	1.0	0.8880735861769975	0.8991883178818053	0.9518504567472739	0.9141452721051636
Haemophilus_influenzae_86_028NP_uid58093	0.8741601011973003	0.9774080229096768	0.9122543886431479	0.9465012270313294	0.9706937016659613	0.856169101917987	1.0	0.9535383787129238	0.8748999759842712	0.9332629561268058
Haemophilus_influenzae_PittGG_uid58593	0.884043323477946	0.9597475611309888	0.8856840782524659	0.9264412572335852	0.9423135480963191	0.854523947645118	0.9399422300455996	1.0	0.8703230364650442	0.9522423992070543
Haemophilus_influenzae_F3047_uid62097	0.8614915826947445	0.9269092178686212	0.859754685130467	0.8862240245592572	0.9192665593034952	0.9620053458701441	0.9171842109386834	0.9255836184129649	1.0	0.9187629566732126
Haemophilus_influenzae_Rd_KW20_uid57771	0.8989093706631268	0.9412095643046762	0.8836195171924796	0.895380959330458	0.9467667379367584	0.8424740864282578	0.8921435996009381	0.9234539993810911	0.8377916889634274	1.0
