	Acinetobacter_baumannii_1564232_GCA_000584815_2_24_dna_genome	Acinetobacter_calcoaceticus_dsm_30006_cip_81_8_GCA_000368965_1_24_dna_genome	ERR356313	Acinetobacter_baumannii_AB307_0294_uid59271	Acinetobacter_baumannii_BJAB0715_uid210972	ERR190463	Acinetobacter_calcoaceticus_anc_3680_GCA_000368945_1_24_dna_genome	ERR249229	Acinetobacter_baumannii_1451147_GCA_000681535_1_24_dna_genome	Acinetobacter_baumannii_BJAB07104_uid210971	ERR197607	Acinetobacter_baumannii_1656_2_uid158677	Acinetobacter_baumannii_TYTH_1_uid176498	ERR474004	ERR197558	Acinetobacter_baumannii_MDR_TJ_uid162739	ERR190412	Acinetobacter_calcoaceticus_niph_13_GCA_000367865_1_24_dna_genome	Acinetobacter_baumannii_BJAB0868_uid210973	Acinetobacter_baumannii_ZW85_1_uid231518	ERR356249	Acinetobacter_baumannii_MDR_ZJ06_uid158685	ERR249218
Acinetobacter_baumannii_1564232_GCA_000584815_2_24_dna_genome	1.0	0.902409669937	0.889345937183	0.890308886116	0.891163461183	0.88962421048	0.903489062026	0.889713632124	0.969999547232	0.890068504486	0.887446044191	0.890334422439	0.890049416107	0.970010085832	0.887648467023	0.890768462414	0.887515632032	0.902244791362	0.889691725213	0.89052475728	0.950058905819	0.890830433431	0.89131731677
Acinetobacter_calcoaceticus_dsm_30006_cip_81_8_GCA_000368965_1_24_dna_genome	0.902409669937	1.0	0.874858562352	0.874922098369	0.875462456096	0.876417986732	0.963201089462	0.874570825579	0.901394079092	0.874859752565	0.87327820782	0.875056556621	0.874981291251	0.900514485049	0.873305451032	0.874872882878	0.873236439542	0.969754830469	0.875193960678	0.875760790187	0.90067420112	0.874815054758	0.874543958183
ERR356313	0.889345937183	0.874858562352	1.0	0.979350100484	0.978256420948	0.902627630225	0.875848167666	0.979469367344	0.889203568693	0.979295463672	0.918060322533	0.978608547757	0.979698431266	0.888918947106	0.917942093758	0.979802733958	0.918143682574	0.875005631129	0.979655032398	0.979522479791	0.887334045289	0.978714315835	0.979170550853
Acinetobacter_baumannii_AB307_0294_uid59271	0.890308886116	0.874922098369	0.979350100484	1.0	0.977235250995	0.901326708654	0.875679162222	0.978319184926	0.888688526258	0.978715610845	0.91721606247	0.978341414605	0.979212221517	0.888783281256	0.917573219828	0.978948565613	0.917348872116	0.875310518238	0.979360505199	0.978652983579	0.887264371249	0.978686330867	0.997899756755
Acinetobacter_baumannii_BJAB0715_uid210972	0.891163461183	0.875462456096	0.978256420948	0.977235250995	1.0	0.901830552406	0.875785396728	0.978048876065	0.889530796205	0.979730242949	0.917298711215	0.977529410082	0.979848131992	0.889860270324	0.917209585764	0.979320955334	0.917364908705	0.875231438015	0.978815484887	0.978828004318	0.887629055379	0.980180920784	0.976697595165
ERR190463	0.88962421048	0.876417986732	0.902627630225	0.901326708654	0.901830552406	1.0	0.878035800231	0.902390381872	0.890069132937	0.902257039151	0.918993608378	0.902364375841	0.902747946273	0.889073336432	0.918980066679	0.902374427383	0.918816324687	0.87668212918	0.902142848007	0.901900882333	0.887347985716	0.902418044694	0.901594897563
Acinetobacter_calcoaceticus_anc_3680_GCA_000368945_1_24_dna_genome	0.903489062026	0.963201089462	0.875848167666	0.875679162222	0.875785396728	0.878035800231	1.0	0.875473325628	0.901968569489	0.875834859134	0.874043224609	0.875907255151	0.876176131719	0.901147841773	0.874079762885	0.875862521212	0.874183517766	0.964510176744	0.876018702286	0.875804384809	0.901587200208	0.875762161542	0.875525277217
ERR249229	0.889713632124	0.874570825579	0.979469367344	0.978319184926	0.978048876065	0.902390381872	0.875473325628	1.0	0.889650607388	0.998474305794	0.917974785889	0.996415985406	0.997979247913	0.889321674318	0.917748990625	0.997837718156	0.917892035016	0.874949894923	0.997947692401	0.979305919207	0.887436270553	0.997464972424	0.978369393741
Acinetobacter_baumannii_1451147_GCA_000681535_1_24_dna_genome	0.969999547232	0.901394079092	0.889203568693	0.888688526258	0.889530796205	0.890069132937	0.901968569489	0.889650607388	1.0	0.888899021063	0.887025541608	0.889159733565	0.889331538295	0.986824378611	0.887029020309	0.88928405846	0.886197076958	0.902173095887	0.888826705642	0.889181527527	0.951142964707	0.889479644458	0.889329473612
Acinetobacter_baumannii_BJAB07104_uid210971	0.890068504486	0.874859752565	0.979295463672	0.978715610845	0.979730242949	0.902257039151	0.875834859134	0.998474305794	0.888899021063	1.0	0.917618610831	0.995587849418	0.997913916492	0.888911082348	0.917530300288	0.997557920221	0.917633078178	0.874825724837	0.997587815999	0.979290364334	0.88719286845	0.997267769947	0.978162717721
ERR197607	0.887446044191	0.87327820782	0.918060322533	0.91721606247	0.917298711215	0.918993608378	0.874043224609	0.917974785889	0.887025541608	0.917618610831	1.0	0.917835363838	0.918299524716	0.886905180129	0.997898605331	0.918236126276	0.998593495177	0.873546208232	0.917725401975	0.918017764166	0.884346000242	0.918056311651	0.918098915754
Acinetobacter_baumannii_1656_2_uid158677	0.890334422439	0.875056556621	0.978608547757	0.978341414605	0.977529410082	0.902364375841	0.875907255151	0.996415985406	0.889159733565	0.995587849418	0.917835363838	1.0	0.996363874294	0.889254976566	0.917598534075	0.995724973191	0.917705784663	0.875335366379	0.995590050738	0.978805911542	0.887284438362	0.99412366662	0.977778182511
Acinetobacter_baumannii_TYTH_1_uid176498	0.890049416107	0.874981291251	0.979698431266	0.979212221517	0.979848131992	0.902747946273	0.876176131719	0.997979247913	0.889331538295	0.997913916492	0.918299524716	0.996363874294	1.0	0.888869658859	0.917745028998	0.997133897799	0.918146138321	0.875565863629	0.997220463203	0.979613664821	0.888060853914	0.996792946425	0.978709849054
ERR474004	0.970010085832	0.900514485049	0.888918947106	0.888783281256	0.889860270324	0.889073336432	0.901147841773	0.889321674318	0.986824378611	0.888911082348	0.886905180129	0.889254976566	0.888869658859	1.0	0.887229015317	0.889271259951	0.886297371251	0.900928193202	0.888542286631	0.889112610634	0.950062164078	0.889375493731	0.889615031145
ERR197558	0.887648467023	0.873305451032	0.917942093758	0.917573219828	0.917209585764	0.918980066679	0.874079762885	0.917748990625	0.887029020309	0.917530300288	0.997898605331	0.917598534075	0.917745028998	0.887229015317	1.0	0.917972935434	0.998059076407	0.873606656843	0.917766001276	0.918123523746	0.884454000103	0.917921876311	0.918121610535
Acinetobacter_baumannii_MDR_TJ_uid162739	0.890768462414	0.874872882878	0.979802733958	0.978948565613	0.979320955334	0.902374427383	0.875862521212	0.997837718156	0.88928405846	0.997557920221	0.918236126276	0.995724973191	0.997133897799	0.889271259951	0.917972935434	1.0	0.918070550503	0.875400672207	0.997098638506	0.979489867803	0.887729914567	0.996807081229	0.977965630912
ERR190412	0.887515632032	0.873236439542	0.918143682574	0.917348872116	0.917364908705	0.918816324687	0.874183517766	0.917892035016	0.886197076958	0.917633078178	0.998593495177	0.917705784663	0.918146138321	0.886297371251	0.998059076407	0.918070550503	1.0	0.873602524737	0.917800299321	0.918064455421	0.884383709932	0.917945292349	0.918145074804
Acinetobacter_calcoaceticus_niph_13_GCA_000367865_1_24_dna_genome	0.902244791362	0.969754830469	0.875005631129	0.875310518238	0.875231438015	0.87668212918	0.964510176744	0.874949894923	0.902173095887	0.874825724837	0.873546208232	0.875335366379	0.875565863629	0.900928193202	0.873606656843	0.875400672207	0.873602524737	1.0	0.875293738679	0.875296505618	0.901142740202	0.874902710676	0.875005358123
Acinetobacter_baumannii_BJAB0868_uid210973	0.889691725213	0.875193960678	0.979655032398	0.979360505199	0.978815484887	0.902142848007	0.876018702286	0.997947692401	0.888826705642	0.997587815999	0.917725401975	0.995590050738	0.997220463203	0.888542286631	0.917766001276	0.997098638506	0.917800299321	0.875293738679	1.0	0.979789638374	0.887497806778	0.996330928234	0.979014847288
Acinetobacter_baumannii_ZW85_1_uid231518	0.89052475728	0.875760790187	0.979522479791	0.978652983579	0.978828004318	0.901900882333	0.875804384809	0.979305919207	0.889181527527	0.979290364334	0.918017764166	0.978805911542	0.979613664821	0.889112610634	0.918123523746	0.979489867803	0.918064455421	0.875296505618	0.979789638374	1.0	0.887723518505	0.979154303052	0.978099439566
ERR356249	0.950058905819	0.90067420112	0.887334045289	0.887264371249	0.887629055379	0.887347985716	0.901587200208	0.887436270553	0.951142964707	0.88719286845	0.884346000242	0.887284438362	0.888060853914	0.950062164078	0.884454000103	0.887729914567	0.884383709932	0.901142740202	0.887497806778	0.887723518505	1.0	0.887666559245	0.887528680611
Acinetobacter_baumannii_MDR_ZJ06_uid158685	0.890830433431	0.874815054758	0.978714315835	0.978686330867	0.980180920784	0.902418044694	0.875762161542	0.997464972424	0.889479644458	0.997267769947	0.918056311651	0.99412366662	0.996792946425	0.889375493731	0.917921876311	0.996807081229	0.917945292349	0.874902710676	0.996330928234	0.979154303052	0.887666559245	1.0	0.978008088546
ERR249218	0.89131731677	0.874543958183	0.979170550853	0.997899756755	0.976697595165	0.901594897563	0.875525277217	0.978369393741	0.889329473612	0.978162717721	0.918098915754	0.977778182511	0.978709849054	0.889615031145	0.918121610535	0.977965630912	0.918145074804	0.875005358123	0.979014847288	0.978099439566	0.887528680611	0.978008088546	1.0
