	Haemophilus_influenzae_KR494_uid219323	Haemophilus_influenzae_PittEE_uid58591	Haemophilus_influenzae_10810_uid86647	Haemophilus_influenzae_R2866_uid161923	Haemophilus_influenzae_R2846_uid161921	Haemophilus_influenzae_F3031_uid62123	Haemophilus_influenzae_86_028NP_uid58093	Haemophilus_influenzae_PittGG_uid58593	Haemophilus_influenzae_F3047_uid62097	Haemophilus_influenzae_Rd_KW20_uid57771
Haemophilus_influenzae_KR494_uid219323	1.0	0.953069239227862	0.9521523940294788	0.9540189625270118	0.9532587102098226	0.9496264164584217	0.9539515405877622	0.9530019379136349	0.9492833379193036	0.951655165552515
Haemophilus_influenzae_PittEE_uid58591	0.953069239227862	1.0	0.9715952630867211	0.9712772683441588	0.9775451782702813	0.9683686922382935	0.973091966301614	0.9710043481409197	0.9679562896418186	0.9709671105527049
Haemophilus_influenzae_10810_uid86647	0.9521523940294788	0.9715952630867211	1.0	0.9753427126019462	0.972433219615215	0.9725920616591311	0.9748216482709176	0.9748799724674561	0.9725310718147208	0.9769864237319402
Haemophilus_influenzae_R2866_uid161923	0.9540189625270118	0.9712772683441588	0.9753427126019462	1.0	0.9721939376756499	0.9695202293527296	0.9731433133034069	0.973182963833562	0.9708237759101548	0.975796318238303
Haemophilus_influenzae_R2846_uid161921	0.9532587102098226	0.9775451782702813	0.972433219615215	0.9721939376756499	1.0	0.9686223137708394	0.9727680570946139	0.9713926075161411	0.9684696912261149	0.971876072194269
Haemophilus_influenzae_F3031_uid62123	0.9496264164584217	0.9683686922382935	0.9725920616591311	0.9695202293527296	0.9686223137708394	1.0	0.9697284097004601	0.97034251632791	0.9769846957229997	0.9727700697902943
Haemophilus_influenzae_86_028NP_uid58093	0.9539515405877622	0.973091966301614	0.9748216482709176	0.9731433133034069	0.9727680570946139	0.9697284097004601	1.0	0.9731093464331957	0.9695707142613074	0.9737540983606557
Haemophilus_influenzae_PittGG_uid58593	0.9530019379136349	0.9710043481409197	0.9748799724674561	0.973182963833562	0.9713926075161411	0.97034251632791	0.9731093464331957	1.0	0.9707949717017966	0.9751052225381369
Haemophilus_influenzae_F3047_uid62097	0.9492833379193036	0.9679562896418186	0.9725310718147208	0.9708237759101548	0.9684696912261149	0.9769846957229997	0.9695707142613074	0.9707949717017966	1.0	0.9731103211905346
Haemophilus_influenzae_Rd_KW20_uid57771	0.951655165552515	0.9709671105527049	0.9769864237319402	0.975796318238303	0.971876072194269	0.9727700697902943	0.9737540983606557	0.9751052225381369	0.9731103211905346	1.0
