	ERR197562	Acinetobacter_baumannii_1294596_GCA_000582925_1_24_dna_genome	Acinetobacter_baumannii_1264765_GCA_000681815_1_24_dna_genome	ERR197616	Acinetobacter_baumannii_1564232_GCA_000584815_2_24_dna_genome	SRR654235	ERR246690	ERR246753	ERR190436	Acinetobacter_calcoaceticus_dsm_30006_cip_81_8_GCA_000368965_1_24_dna_genome	ERR197608	ERR110009	ERR197604	ERR190453	ERR197617	Acinetobacter_baumannii_1295259_GCA_000581095_1_24_dna_genome	Acinetobacter_baumannii_1239920_GCA_000582235_1_24_dna_genome	SRR387327	Acinetobacter_baumannii_1475718_GCA_000580955_1_24_dna_genome	Acinetobacter_baumannii_263903_2_GCA_000583395_1_24_dna_genome	Acinetobacter_baumannii_826659_GCA_000588515_1_24_dna_genome	ERR356293	ERR190413	ERR197615	ERR197614	ERR190469	ERR110078	Acinetobacter_calcoaceticus_anc_3811_GCA_000399665_1_24_dna_genome	Acinetobacter_baumannii_883425_GCA_000588395_1_24_dna_genome	Acinetobacter_baumannii_809848_GCA_000581275_1_24_dna_genome	ERR119673	Acinetobacter_baumannii_263903_1_GCA_000682155_1_24_dna_genome	ERR190445	ERR246917	ERR246735	ERR190463	Acinetobacter_baumannii_907131_GCA_000582195_1_24_dna_genome	Acinetobacter_pittii_cip_70_29_GCA_000369045_1_24_dna_genome	Acinetobacter_calcoaceticus_anc_3680_GCA_000368945_1_24_dna_genome	ERR246703	Acinetobacter_baumannii_723929_GCA_000584215_1_24_dna_genome	ERR110090	Acinetobacter_pittii_42f_GCA_000529235_1_24_dna_genome	Acinetobacter_baumannii_1179249_GCA_000587995_1_24_dna_genome	Acinetobacter_baumannii_1000160_GCA_000588715_2_24_dna_genome	ERR190426	Acinetobacter_baumannii_742879_GCA_000588535_1_24_dna_genome	ERR190499	Acinetobacter_baumannii_1451147_GCA_000681535_1_24_dna_genome	ERR356238	ERR190427	ERR197559	Acinetobacter_baumannii_1288284_GCA_000681715_1_24_dna_genome	Acinetobacter_pittii_anc_4052_GCA_000399705_1_24_dna_genome	6_S6_L001_R1_001_assembly	Acinetobacter_baumannii_1542444_GCA_000581835_1_24_dna_genome	ERR197607	ERR110085	ERR190411	Acinetobacter_baumannii_wc_141_GCA_000313935_1_24_dna_genome	ERR474004	ERR356333	Acinetobacter_baumannii_25977_9_GCA_000682095_1_24_dna_genome	Acinetobacter_baumannii_1245249_GCA_000584575_1_24_dna_genome	Acinetobacter_pittii_anc_4050_GCA_000399685_1_24_dna_genome	Acinetobacter_baumannii_1289694_GCA_000580855_1_24_dna_genome	Acinetobacter_baumannii_272263_GCA_000581215_1_24_dna_genome	ERR197557	ERR190431	Acinetobacter_baumannii_478810_GCA_000584015_2_24_dna_genome	3_S3_L001	Acinetobacter_baumannii_1578804_GCA_000582075_1_24_dna_genome	Acinetobacter_baumannii_1461402_GCA_000580635_1_24_dna_genome	Acinetobacter_calcoaceticus_niph_13_GCA_000367865_1_24_dna_genome	ERR190485	Acinetobacter_pittii_anc_3678_GCA_000369025_1_24_dna_genome	ERR197625	ERR190429	Acinetobacter_baumannii_348935_GCA_000580795_1_24_dna_genome	Acinetobacter_baumannii_983759_GCA_000582135_1_24_dna_genome	ERR356266	Acinetobacter_baumannii_479375_GCA_000581715_1_24_dna_genome	Acinetobacter_baumannii_146457_GCA_000580655_1_24_dna_genome	Acinetobacter_baumannii_1437282_GCA_000580915_1_24_dna_genome	Acinetobacter_baumannii_ci78_GCA_000516615_1_24_dna_genome	ERR197611	ERR197606	Acinetobacter_baumannii_wc_323_GCA_000314615_1_24_dna_genome	Acinetobacter_baumannii_869535_GCA_000581035_1_24_dna_genome	Acinetobacter_calcoaceticus_phea_2_GCA_000191145_1_24_dna_genome	ERR197564	ERR197641	ERR356249	ERR190424	ERR246928	Acinetobacter_baumannii_225588_GCA_000588415_1_24_dna_genome	Acinetobacter_baumannii_1294243_GCA_000588015_1_24_dna_genome	ERR246882	Acinetobacter_baumannii_573719_GCA_000588275_1_24_dna_genome	ERR249282	ERR197602	Acinetobacter_baumannii_wc_136_GCA_000315155_1_24_dna_genome	ERR246869	Acinetobacter_baumannii_230853_GCA_000581195_1_24_dna_genome	Acinetobacter_calcoaceticus_ruh2202_GCA_000162035_1_24_dna_genome
ERR197562	1.0	0.861342819975	0.888795590858	0.982106534606	0.88709433204	0.918878682438	0.917287478499	0.917420966961	0.917722121325	0.873828925293	0.982856762262	0.917262234495	0.982408618989	0.981580237903	0.982827316034	0.886572140923	0.862448812653	0.9183252147	0.887170517522	0.887839998398	0.885327152317	0.918538792469	0.982384324028	0.982762575509	0.921276872193	0.917443503336	0.917433660885	0.877747154634	0.888518902825	0.885371557918	0.917271798797	0.857859212415	0.977487943759	0.917433180841	0.91715420932	0.91924081237	0.887652857311	0.886190827523	0.874259002932	0.917275969529	0.886206070667	0.917402945777	0.885680604625	0.97901607805	0.851477751163	0.955051306173	0.88482186784	0.917421838857	0.886900016531	0.918314005488	0.982134418375	0.939596227677	0.898431673715	0.881236756471	0.887412435808	0.884398293174	0.982768304354	0.917797349837	0.97329551207	0.879193543722	0.886109557787	0.917754569613	0.979301951916	0.88568933341	0.880709788621	0.886028971587	0.853782346326	0.974317265477	0.982075844663	0.887236086345	0.917539813418	0.886150047541	0.861848664053	0.873130312028	0.982648457913	0.887688517137	0.982803979878	0.975004221421	0.869867603051	0.861415274932	0.886221940757	0.85355866731	0.852074879739	0.851649022993	0.882181421788	0.982664364798	0.981683533808	0.860490806325	0.857855598391	0.884213552341	0.997485231015	0.936787320849	0.883331204878	0.982387881119	0.917686808998	0.886711896367	0.887561405908	0.917445193365	0.886839782692	0.917144827962	0.982199426717	0.886921170701	0.918025299189	0.857457007792	0.873712825067
Acinetobacter_baumannii_1294596_GCA_000582925_1_24_dna_genome	0.861342819975	1.0	0.874352292157	0.855986882971	0.8714256588	0.852694590168	0.845580322113	0.845649067447	0.846592711956	0.844770982013	0.855296227784	0.851294248848	0.854436364162	0.848057204287	0.852812188772	0.881492112387	0.988928183988	0.852387115999	0.874107266933	0.888315544515	0.863519205381	0.852518197579	0.847391415463	0.855607867814	0.854203623339	0.845466977965	0.84623704921	0.850840816327	0.875480375249	0.846443307665	0.847006584818	0.985781361844	0.855883766106	0.845192545051	0.846174457122	0.853278594065	0.861680253793	0.861848633804	0.848113686142	0.845701853883	0.870207885827	0.845983525867	0.859089093326	0.876369123559	0.860473771498	0.86189258312	0.858929493431	0.845601128598	0.872053980833	0.850923245653	0.846852041688	0.901471212336	0.86598651609	0.846323249784	0.854230061514	0.848506219755	0.854727255177	0.941031827039	0.850202535182	0.864355081017	0.858538089548	0.852844237188	0.875026593737	0.871144096191	0.840693544876	0.87899185826	0.988557204588	0.86057369314	0.854465008676	0.871019076899	0.849483341322	0.866214294484	0.985707155007	0.840750197481	0.853421236812	0.859928239419	0.855344230932	0.852723752913	0.888382761056	0.983870063686	0.860252335548	0.864350276842	0.862424527438	0.857530472094	0.846172403226	0.854930817326	0.854564812953	0.87243215006	0.9849075912	0.849280581537	0.859936868089	0.88986784141	0.842679360675	0.854237596671	0.851525716238	0.870455305842	0.868828086283	0.845303321676	0.878757857035	0.848166533611	0.854658456747	0.884785565446	0.847881972311	0.985634231687	0.840992829862
Acinetobacter_baumannii_1264765_GCA_000681815_1_24_dna_genome	0.888795590858	0.874352292157	1.0	0.887404753885	0.966417998835	0.891288532526	0.889666850398	0.889554010119	0.889999683342	0.901412117277	0.886946582838	0.8910715268	0.886668560543	0.88627177317	0.886831060398	0.965215717685	0.848351588403	0.891007405907	0.968313620808	0.968397979117	0.964486772164	0.89177964961	0.88640545827	0.88708210918	0.891827515841	0.889509975941	0.889087573435	0.908434216383	0.967621581905	0.964555120573	0.889461780049	0.849245480353	0.886800882519	0.889810738596	0.888632926197	0.890261243596	0.966130607351	0.969834191579	0.902329544599	0.889523125127	0.968727976522	0.889301815054	0.970158384614	0.890168709838	0.846987370271	0.889328140892	0.96472328433	0.889703588041	0.968652065884	0.889926662871	0.885559452865	0.926575311374	0.942215574277	0.936198575124	0.966181158694	0.963734568336	0.886849854865	0.944771345558	0.888712556622	0.910604469822	0.965692898849	0.891133495046	0.888003471339	0.965528861018	0.926477853687	0.968213728239	0.84788290963	0.889466756881	0.887239613187	0.969948445686	0.889254209222	0.989491203201	0.848517141505	0.901674370273	0.88634223693	0.966564360042	0.887033523252	0.88865155143	0.860946379857	0.846477906106	0.966673306622	0.849978425051	0.846610637994	0.847317392295	0.935375869988	0.887133699036	0.88753945872	0.863637837443	0.845621445879	0.964551767424	0.886169409628	0.92491717524	0.953297688372	0.8864276672	0.891251355741	0.968879363875	0.987691801539	0.889238354245	0.946167742712	0.889366191049	0.886761884346	0.966830705065	0.889739037427	0.849616610147	0.900826326713
ERR197616	0.982106534606	0.855986882971	0.887404753885	1.0	0.88874868338	0.921125609749	0.919885815228	0.919930762023	0.920577524927	0.873951922125	0.998832871228	0.919734698938	0.989111621703	0.995396517012	0.998802543274	0.888953367278	0.862663427628	0.919969147485	0.889255279344	0.890057026497	0.886422044615	0.921074097532	0.998515493179	0.998765071213	0.926027702738	0.919983812148	0.919532372399	0.878373800724	0.889076409264	0.886322084153	0.919816857157	0.864594471906	0.975895401554	0.920320075144	0.918932024529	0.919048831166	0.88792891163	0.887300704748	0.874718778949	0.919900488571	0.888278596944	0.91996497331	0.894019685802	0.977446925743	0.851212696853	0.968439422	0.886612262121	0.920095070392	0.888823392524	0.920524056923	0.998078929475	0.944220832977	0.900632217922	0.882163782213	0.887326240148	0.886026316615	0.998752715176	0.927483225168	0.989242443817	0.881623605658	0.88728051848	0.920541877563	0.977267794384	0.887873325229	0.881877309532	0.889035669161	0.856426815494	0.979149299887	0.996847042958	0.888623126958	0.919920810438	0.888328736463	0.867345243741	0.873641336611	0.99855079387	0.887674267801	0.998831627173	0.988750613309	0.881465179458	0.863700202981	0.887640878232	0.854474640509	0.851526273634	0.85085215489	0.883171589419	0.998776218168	0.997734554082	0.867170354056	0.863136331254	0.885730911564	0.98259597423	0.951549485645	0.884620982216	0.998199571291	0.92001828629	0.888402055026	0.888202701909	0.920034826173	0.893786532517	0.91982831293	0.988932797645	0.890204481527	0.919974043092	0.862529754189	0.874293545043
Acinetobacter_baumannii_1564232_GCA_000584815_2_24_dna_genome	0.88709433204	0.8714256588	0.966417998835	0.88874868338	1.0	0.892199463506	0.889478489969	0.889453897128	0.889582504159	0.902409669937	0.88758524811	0.889637378668	0.887753935022	0.887666752951	0.887361171238	0.965606160894	0.857351491085	0.890418941136	0.969519224787	0.975135909495	0.963367807888	0.891247337665	0.887442087214	0.887561875957	0.890526181098	0.889410023226	0.890026806173	0.909474610297	0.968569639828	0.9670414174	0.889639706992	0.863320277733	0.889428567691	0.889705223336	0.889452847631	0.88962421048	0.968421229766	0.970888301669	0.903489062026	0.889420599651	0.970068028689	0.889512095199	0.969800322979	0.891129500378	0.852513950272	0.888918850009	0.965272984637	0.889388029965	0.969999547232	0.891925066348	0.887204349307	0.928902038903	0.943920219943	0.93696031978	0.969304214959	0.965254679314	0.887446044191	0.93384416145	0.889278937669	0.914230555361	0.970010085832	0.89207652884	0.892272882107	0.998190207029	0.927249364625	0.970098973614	0.851196080508	0.890194527879	0.888061133578	0.969813918859	0.89094878834	0.966909028628	0.863045836897	0.902244791362	0.887218625224	0.989489099626	0.887592007249	0.888610771936	0.867937212288	0.852056999612	0.970364204432	0.860082108768	0.852657384268	0.849592832854	0.935800998688	0.887587976145	0.888091175302	0.877258497791	0.858864009175	0.964803559311	0.886551228903	0.93082305898	0.950058905819	0.887578066841	0.890025974287	0.970289197476	0.967029579519	0.889365365511	0.946038367651	0.889372628685	0.887943639054	0.973883216737	0.890561051054	0.858301815741	0.901770120684
SRR654235	0.918878682438	0.852694590168	0.891288532526	0.921125609749	0.892199463506	1.0	0.980167873549	0.980347652179	0.979668814467	0.875967159514	0.919426979225	0.980047646105	0.918805825432	0.921287530264	0.919242938608	0.894282766194	0.862105490023	0.978115449638	0.891984097613	0.892513862041	0.890608698976	0.979545543011	0.919199686819	0.919349052923	0.97858027199	0.980301958982	0.978459133478	0.87850687493	0.893520262521	0.890320894152	0.980208089753	0.855235067751	0.922272803806	0.979958728063	0.979641802224	0.903719540597	0.892566214724	0.891259172751	0.876144904756	0.980279307381	0.891381595687	0.98024146443	0.890329852595	0.924142655022	0.85146832478	0.940805294744	0.8907761436	0.980191287908	0.891943493378	0.978805551097	0.919042797436	0.976759081343	0.925912520924	0.885339123279	0.891142954845	0.890007598784	0.919365064952	0.948364582717	0.930469393852	0.882631120269	0.890881866854	0.978416618141	0.920184208014	0.89186156318	0.883535411191	0.891537438848	0.849024913963	0.928632474688	0.919531601719	0.891375362903	0.97803577348	0.892157963419	0.860708944293	0.874980568689	0.91924097167	0.891011599978	0.919437811766	0.928715044505	0.865879267704	0.857522812011	0.891720647045	0.857913779359	0.851528976082	0.851341525164	0.886235591793	0.919846093609	0.921780426764	0.862129223644	0.852918871379	0.889765026317	0.919191232994	0.968760927847	0.887469363652	0.919250152309	0.979979268789	0.891339406971	0.891290848506	0.98020446569	0.891226744887	0.980265297849	0.919564614733	0.891653651482	0.978034557456	0.853344474378	0.875491226757
ERR246690	0.917287478499	0.845580322113	0.889666850398	0.919885815228	0.889478489969	0.980167873549	1.0	0.999211773317	0.994919337248	0.875164024455	0.918013467031	0.998209437812	0.917538164202	0.92253950872	0.917841371054	0.891044637076	0.855139233759	0.978794119838	0.889721495962	0.890663504529	0.890510592427	0.993593514961	0.918073919549	0.918005965193	0.996675605309	0.99854487404	0.979243598292	0.878502550019	0.890964518413	0.889030797994	0.998299569307	0.8488439382	0.923945506028	0.997272419666	0.978864304629	0.902420563714	0.89076793121	0.889416215402	0.876155223856	0.998948417606	0.889943682776	0.998355372853	0.889536491351	0.920843000749	0.851134607344	0.945792072631	0.890492745774	0.997757819353	0.889326211966	0.979857638531	0.91834064248	0.97680282816	0.934751793535	0.885051339778	0.888909299026	0.889871912447	0.917953159575	0.953311310922	0.934684394386	0.881566219053	0.889214449991	0.978691916845	0.918763439628	0.889476958428	0.884592321308	0.890936695311	0.846582432817	0.92847082281	0.918760000717	0.890412819808	0.97860681259	0.88997358398	0.851060408193	0.875091033763	0.917963539282	0.888574717271	0.918074957186	0.935621775622	0.848746636006	0.850903883003	0.889841843218	0.84394250011	0.851462038365	0.848272292529	0.885736898705	0.918894782248	0.920641526918	0.854766270812	0.848353315433	0.890047358014	0.917694760087	0.975243060679	0.887667168488	0.917924929629	0.997302391854	0.889484967276	0.888906061171	0.998011918198	0.890353640883	0.998201149456	0.919340008646	0.890010685875	0.979314761841	0.848308119224	0.875325129316
ERR246753	0.917420966961	0.845649067447	0.889554010119	0.919930762023	0.889453897128	0.980347652179	0.999211773317	1.0	0.99498611184	0.875238572499	0.918128609897	0.998348592337	0.917616705048	0.92264732925	0.917948239464	0.89126764846	0.855248531694	0.978885990477	0.889775950307	0.890738394138	0.890485078405	0.993775366629	0.91819061982	0.918103301952	0.996879060759	0.998569975478	0.979440242692	0.878502870267	0.891044191355	0.88929641603	0.998425522469	0.848873581095	0.924005581019	0.997473890353	0.979217056871	0.902398330774	0.890858891568	0.889372711237	0.87618226954	0.999021857842	0.889937534864	0.998416728454	0.889517255823	0.920832974277	0.851078385123	0.945985599837	0.890487967263	0.998173554404	0.889378400562	0.979952584077	0.918401779669	0.976742836296	0.934252568921	0.885059844135	0.888889744583	0.890015672329	0.918036176731	0.952182653647	0.934760066272	0.881653231604	0.889185126651	0.978873554457	0.918746567658	0.88947739881	0.88460650416	0.890981959978	0.846654941427	0.928463831398	0.918844028541	0.890376678196	0.978917421129	0.890052084777	0.851073849487	0.875047509559	0.918054048824	0.888324665192	0.918166053562	0.935697057004	0.848820748755	0.850890947566	0.889788542303	0.843873272209	0.851448934904	0.848273904817	0.885810464359	0.918998602605	0.920721383966	0.854828025478	0.848534089338	0.889980442915	0.917694920996	0.975350019812	0.8876488808	0.918000667619	0.997456509021	0.889493187532	0.888976337548	0.998132461486	0.890313219867	0.99840596405	0.919386665694	0.890051390815	0.979286934349	0.848260803833	0.875260830817
ERR190436	0.917722121325	0.846592711956	0.889999683342	0.920577524927	0.889582504159	0.979668814467	0.994919337248	0.99498611184	1.0	0.875052529259	0.918570364174	0.994606877291	0.917752928937	0.922956282504	0.918371156531	0.890281161632	0.855935898385	0.978325943673	0.889927968489	0.890654417654	0.890443096852	0.991149815142	0.918532371862	0.918551875931	0.993238497077	0.995463184955	0.978655562228	0.878418567777	0.890964751724	0.889158882622	0.994781141959	0.849656319389	0.923573917913	0.994426071383	0.978360642496	0.902425738372	0.890749055495	0.889592680063	0.876251228771	0.994474990686	0.890290998996	0.994025729364	0.889737412291	0.920906160429	0.851470476316	0.94616218672	0.890150316212	0.994647755681	0.889727449186	0.978307158816	0.918936176597	0.977795925034	0.932419856493	0.884708140665	0.888993628852	0.889807913435	0.918497154781	0.947184225689	0.936185665115	0.879914517118	0.889264478211	0.977793132051	0.919105655116	0.889565509148	0.884847487807	0.891802136187	0.848811966397	0.929065511087	0.919328099125	0.890668995215	0.978405485856	0.890003176207	0.851615528562	0.874984267215	0.918589731863	0.888452928225	0.918639687766	0.936139636983	0.855331053777	0.851216665678	0.889993043758	0.844535687065	0.851783573464	0.848907683124	0.885742789525	0.919408367175	0.921068092128	0.85520935474	0.849111605466	0.889764901797	0.917700618456	0.974826624966	0.88731511126	0.918350787093	0.994241021334	0.889610180561	0.888967869122	0.994923969148	0.890125334193	0.994343656609	0.919430386226	0.889989646232	0.978195853035	0.850164698321	0.875308908521
Acinetobacter_calcoaceticus_dsm_30006_cip_81_8_GCA_000368965_1_24_dna_genome	0.873828925293	0.844770982013	0.901412117277	0.873951922125	0.902409669937	0.875967159514	0.875164024455	0.875238572499	0.875052529259	1.0	0.873340013285	0.874483241399	0.873842744031	0.873559958773	0.873331839628	0.900681955639	0.837882663452	0.874252787965	0.900983281941	0.901193325806	0.901653564437	0.87621989626	0.873228719204	0.873305467999	0.875102704829	0.874556713419	0.874592717542	0.923315257457	0.901036382769	0.901231662733	0.874525227436	0.840063622515	0.873464242682	0.874618559747	0.874707009929	0.876417986732	0.900844595073	0.901515864796	0.963201089462	0.874569135668	0.900590434343	0.874649994944	0.900899839407	0.873775859805	0.84393833466	0.873570238103	0.901387906049	0.874501907103	0.901394079092	0.875003026615	0.873134844031	0.915365210191	0.89229764559	0.900974389823	0.900788441199	0.901302446641	0.87327820782	0.897373379142	0.874154705767	0.917990052645	0.900514485049	0.874714712795	0.873742636483	0.90087617725	0.89940973621	0.900618517554	0.837716561652	0.874679594931	0.873328713379	0.901022426131	0.874933805235	0.900626688433	0.838788689184	0.969754830469	0.873344911475	0.900824723257	0.873312430536	0.874075882539	0.842599789593	0.840598840953	0.900750346607	0.837355410286	0.844013376838	0.846725149261	0.900661080173	0.873321659891	0.873562533737	0.846601560408	0.84049667241	0.900809840326	0.873475878692	0.914657360406	0.90067420112	0.87310953737	0.874754892041	0.900726751068	0.901147202698	0.874676889992	0.900921978055	0.874446533463	0.873857945462	0.900750342668	0.874598956183	0.839139467949	0.970988427511
