	Haemophilus_influenzae_KR494_uid219323	Haemophilus_influenzae_PittEE_uid58591	Haemophilus_influenzae_10810_uid86647	Haemophilus_influenzae_R2866_uid161923	Haemophilus_influenzae_R2846_uid161921	Haemophilus_influenzae_F3031_uid62123	Haemophilus_influenzae_86_028NP_uid58093	Haemophilus_influenzae_PittGG_uid58593	Haemophilus_influenzae_F3047_uid62097	Haemophilus_influenzae_Rd_KW20_uid57771
Haemophilus_influenzae_KR494_uid219323	0.0	76182.0	78335.0	75878.0	75369.0	80128.0	74718.0	77121.0	81100.0	80671.0
Haemophilus_influenzae_PittEE_uid58591	76182.0	0.0	48366.0	50518.0	41503.0	53047.0	47683.0	50320.0	53850.0	49543.0
Haemophilus_influenzae_10810_uid86647	78335.0	48366.0	0.0	44402.0	47513.0	46307.0	45501.0	44083.0	46797.0	40295.0
Haemophilus_influenzae_R2866_uid161923	75878.0	50518.0	44402.0	0.0	48253.0	51126.0	49119.0	47701.0	49963.0	41876.0
Haemophilus_influenzae_R2846_uid161921	75369.0	41503.0	47513.0	48253.0	0.0	52097.0	48159.0	49045.0	52734.0	48363.0
Haemophilus_influenzae_F3031_uid62123	80128.0	53047.0	46307.0	51126.0	52097.0	0.0	51713.0	50327.0	43968.0	45556.0
Haemophilus_influenzae_86_028NP_uid58093	74718.0	47683.0	45501.0	49119.0	48159.0	51713.0	0.0	48297.0	53421.0	44766.0
Haemophilus_influenzae_PittGG_uid58593	77121.0	50320.0	44083.0	47701.0	49045.0	50327.0	48297.0	0.0	51014.0	43385.0
Haemophilus_influenzae_F3047_uid62097	81100.0	53850.0	46797.0	49963.0	52734.0	43968.0	53421.0	51014.0	0.0	45232.0
Haemophilus_influenzae_Rd_KW20_uid57771	80671.0	49543.0	40295.0	41876.0	48363.0	45556.0	44766.0	43385.0	45232.0	0.0
